Имя документа,Автор,Название работы,Год издания,Объем (в словах)
SchlegelAu_Beytraege,А. Шлегель,"Beyträge zur Kritik der neuesten Litteratur",1798,8285
SchlegelAu_Ueber,А. Шлегель,"Über Zeichnungen zu Gedichten und John Flaxman's Umrisse",1799,11995
SchlegelF_Gespraech,Ф. Шлегель,"Gespräch über die Poesie; Ueber die Unverständlichkeit; Ideen","1800; 1800; 1800",11048
SchlegelF_Ueber,Ф. Шлегель,"Ueber die Philosophie. An Dorothea; Über Goethes Meister","1799; 1798",12864
Schleiermacher_Anthropologie,Ф. Шлейермахер,"Anthropologie von Immanuel Kant; Garve's letzte noch von ihm selbst herausgegebene Schriften; Engels Philosoph für die Welt; Fichtes Bestimmung des Menschen","1798; 1800; 1800; 1800",13135
Schleiermacher_Ueber,Ф. Шлейермахер,"Über die Religion. Reden an die Gebildeten unter ihren Verächtern",1799,58188
