Имя документа,Автор,Название работы,Год издания,Объем (в словах)
Bally_LeLangage,Ш. Балли,"Le langage et la vie",1913,10595
Bally_Traite,Ш. Балли,"Traité de stylistique française",1909,14586
Saussure_LeSuffixe,Ф. де Соссюр,"Le suffixe -t-; Sur une classe de verbes latins en -eo","1877; 1877",10183
Saussure_Memoire,Ф. де Соссюр,"Mémoire sur le système primitif des voyelles dans les langues indo-européennes",1879,18977
Sechehaye_LesDeux,А. Сеше,"Les deux types de la phrase; La méthode constructive en grammaire et son application; Considérations sur la morphologie du français","1920; 1930; 1945(?)",18257
Sechehaye_Programme,А. Сеше,"Programme et méthodes de la linguistique théorique: Psychologie du langage",1908,10713
