Имя документа,Автор,Название работы,Год издания,Объем (в словах)
Kuznecov_KVoprosu,Кузнецов П.С,«К вопросу о фонематической системе современного французского языка»,1941,10477
Kuznecov_OFonologicheskoj,Кузнецов П.С,«О фонологической системе сербохорватского языка»; «К вопросу о фонологии ударения»,1948; 1948,8544
Reformatskij_ProblemaFonemy,Реформатский А.А.,«Проблема фонемы в американской лингвистике»,1941,11158
Reformatskij_Soglasnye,Реформатский А.А.,"«Согласные, противопоставленные по способу и месту образования и их варьирование в современном русском литературном языке»; «О соотношении фонетики и грамматики (морфологии)»",1955; 1955,5765 + 6073 = 11838
Avanesov_IzIstorii,Аванесов Р.И.,«Из истории русского вокализма. Звуки I и Y»; «О долгих шипящих в русском языке»,1947; 1948,6828 + 3202 = 10030
Avanesov_Kratchajshayay,Аванесов Р.И.,«Кратчайшая звуковая единица в составе слова и морфемы»; «Типы научно-лингвистической транскрипции»,1955; 1956,8323 + 4845 = 13168
